Card Name
Esper Sentinel
Giver of Runes
Guide of Souls
Mother of Runes
Ocelot Pride
Thraben Inspector
Cathar Commando
Containment Priest
Jacked Rabbit
Lion Sash
Luminarch Aspirant
Phelia, Exuberant Shepherd
Stoneforge Mystic
Thalia, Guardian of Thraben
Voice of Victory
Adeline, Resplendent Cathar
Elite Spellbinder
Flickerwisp
Loran of the Third Path
Monastery Mentor
Porcelain Legionnaire
Recruiter of the Guard
Skyclave Apparition
White Plume Adventurer
Palace Jailer
Restoration Angel
Seasoned Dungeoneer
Solitude
The Wandering Emperor
Enlightened Tutor
Ephemerate
Path to Exile
Swords to Plowshares
Reprieve
Oust
Prismatic Ending
Balance
Council's Judgment
Armageddon
Wrath of God
Portable Hole
Staff of the Storyteller
Parallax Wave
Snapcaster Mage
Thassa's Oracle
Wan Shi Tong, Librarian
Brazen Borrower
Hullbreacher
Spellseeker
Tishana's Tidebinder
True-Name Nemesis
Displacer Kitten
Phyrexian Metamorph
Subtlety
Urza, Lord High Artificer
Kappa Cannoneer
Narset, Parter of Veils
Jace, the Mind Sculptor
Ancestral Recall
Brainstorm
Mystical Tutor
Spell Pierce
Brain Freeze
Counterspell
Daze
Flash
Lose Focus
Mana Drain
Mana Leak
Memory Lapse
Miscalculation
Remand
Snap
Force of Negation
Frantic Search
Force of Will
Mystic Confluence
Gitaxian Probe
Ponder
Preordain
Time Walk
Show and Tell
Stock Up
Timetwister
Tinker
Lorien Revealed
Echo of Eons
Time Spiral
Upheaval
Treachery
Dark Confidant
Dauthi Voidwalker
Deep-Cavern Bat
Emperor of Bones
Orcish Bowmasters
Barrowgoyf
Grief
Sheoldred, the Apocalypse
Metamorphosis Fanatic
Troll of Khazad-dum
Archon of Cruelty
Griselbrand
Liliana of the Veil
Dark Ritual
Entomb
Fatal Push
Vampiric Tutor
Bitter Triumph
Cabal Ritual
Shallow Grave
Sheoldred's Edict
Dismember
Snuff Out
Bone Shards
Duress
Imperial Seal
Inquisition of Kozilek
Mind Twist
Reanimate
Thoughtseize
Collective Brutality
Demonic Tutor
Exhume
Hymn to Tourach
Night's Whisper
Doomsday
Toxic Deluge
Yawgmoth's Will
Damnation
Bolas's Citadel
Animate Dead
Necromancy
Recurring Nightmare
Dragon's Rage Channeler
Goblin Welder
Orcish Lumberjack
Ragavan, Nimble Pilferer
Embereth Shieldbreaker
Fear of Missing Out
Goblin Engineer
Inti, Seneschal of the Sun
Robber of the Rich
